filename,score,cluster_id
DB11742_docking_min1.mol2,-10,0
DB00843_docking_min1.mol2,-7.6,0
DB08990_docking_min1.mol2,-6.6,0
DB00645_docking_min1.mol2,-6.5,0
DB11125_docking_min1.mol2,-6.5,0
DB09345_docking_min1.mol2,-6.1,0
DB12554_docking_min1.mol2,-5.9,0
DB01081_docking_min1.mol2,-5.8,0
DB12278_docking_min1.mol2,-5.7,0
DB01146_docking_min1.mol2,-5.6,0
DB00454_docking_min1.mol2,-5.5,0
DB08988_docking_min1.mol2,-5.4,0
DB06684_docking_min1.mol2,-9.4,1
DB00480_docking_min1.mol2,-8.2,1
DB00210_docking_min1.mol2,-9.2,2
DB11071_docking_min1.mol2,-7.6,2
DB13953_docking_min1.mol2,-7.5,2
DB00788_docking_min1.mol2,-7.3,2
DB04575_docking_min1.mol2,-7.2,2
DB04824_docking_min1.mol2,-7.1,2
DB01428_docking_min1.mol2,-6.9,2
DB01241_docking_min1.mol2,-6.4,2
DB11994_docking_min1.mol2,-6.4,2
DB01357_docking_min1.mol2,-6.3,2
DB04573_docking_min1.mol2,-6.3,2
DB00946_docking_min1.mol2,-6.2,2
DB00374_docking_min1.mol2,-6.1,2
DB00573_docking_min1.mol2,-6.1,2
DB11201_docking_min1.mol2,-5.8,2
DB11791_docking_min1.mol2,-9.2,3
DB01544_docking_min1.mol2,-9.1,4
DB01595_docking_min1.mol2,-6.7,4
DB01068_docking_min1.mol2,-6.6,4
DB06589_docking_min1.mol2,-9.1,5
DB00705_docking_min1.mol2,-8.1,5
DB00482_docking_min1.mol2,-7.6,5
DB08881_docking_min1.mol2,-7.6,5
DB00576_docking_min1.mol2,-7.3,5
DB00216_docking_min1.mol2,-7.1,5
DB11817_docking_min1.mol2,-6.9,5
DB00808_docking_min1.mol2,-6.7,5
DB00952_docking_min1.mol2,-6.7,5
DB00918_docking_min1.mol2,-6.4,5
DB01621_docking_min1.mol2,-6.4,5
DB06147_docking_min1.mol2,-6.2,5
DB13165_docking_min1.mol2,-6.1,5
DB01194_docking_min1.mol2,-5.6,5
DB00869_docking_min1.mol2,-5.5,5
DB00669_docking_min1.mol2,-5.3,5
DB00734_docking_min1.mol2,-9,6
DB09195_docking_min1.mol2,-8.8,6
DB00298_docking_min1.mol2,-7.8,6
DB00656_docking_min1.mol2,-7.7,6
DB00972_docking_min1.mol2,-7.7,6
DB01149_docking_min1.mol2,-7.6,6
DB09034_docking_min1.mol2,-7.2,6
DB00402_docking_min1.mol2,-6.3,6
DB01198_docking_min1.mol2,-6.3,6
DB01067_docking_min1.mol2,-9,7
DB09183_docking_min1.mol2,-8.4,7
DB01016_docking_min1.mol2,-8.3,7
DB01582_docking_min1.mol2,-8.1,7
DB01298_docking_min1.mol2,-8,7
DB00880_docking_min1.mol2,-7.9,7
DB00436_docking_min1.mol2,-7.8,7
DB00664_docking_min1.mol2,-7.7,7
DB11362_docking_min1.mol2,-7.7,7
DB00263_docking_min1.mol2,-7.6,7
DB08798_docking_min1.mol2,-7.5,7
DB00524_docking_min1.mol2,-7.4,7
DB01325_docking_min1.mol2,-7.4,7
DB00706_docking_min1.mol2,-7.2,7
DB00359_docking_min1.mol2,-7,7
DB00391_docking_min1.mol2,-7,7
DB01581_docking_min1.mol2,-7,7
DB00469_docking_min1.mol2,-6.9,7
DB00562_docking_min1.mol2,-6.9,7
DB06821_docking_min1.mol2,-6.9,7
DB00862_docking_min1.mol2,-6.8,7
DB00203_docking_min1.mol2,-6.7,7
DB01015_docking_min1.mol2,-6.7,7
DB00276_docking_min1.mol2,-6.6,7
DB00554_docking_min1.mol2,-6.5,7
DB00999_docking_min1.mol2,-6.5,7
DB01382_docking_min1.mol2,-6.5,7
DB00214_docking_min1.mol2,-6.4,7
DB00891_docking_min1.mol2,-6.4,7
DB02925_docking_min1.mol2,-6.3,7
DB01021_docking_min1.mol2,-6.1,7
DB00774_docking_min1.mol2,-6,7
DB01324_docking_min1.mol2,-5.8,7
DB00232_docking_min1.mol2,-5.7,7
DB06729_docking_min1.mol2,-5.7,7
DB01299_docking_min1.mol2,-5.6,7
DB00887_docking_min1.mol2,-5.3,7
DB00872_docking_min1.mol2,-8.9,8
DB12867_docking_min1.mol2,-8.5,8
DB01261_docking_min1.mol2,-8.4,8
DB04908_docking_min1.mol2,-8.4,8
DB01184_docking_min1.mol2,-8.3,8
DB00637_docking_min1.mol2,-8.2,8
DB01238_docking_min1.mol2,-8.2,8
DB01267_docking_min1.mol2,-8.1,8
DB06144_docking_min1.mol2,-8.1,8
DB00450_docking_min1.mol2,-7.8,8
DB01100_docking_min1.mol2,-7.8,8
DB00467_docking_min1.mol2,-7.7,8
DB00685_docking_min1.mol2,-7.7,8
DB00969_docking_min1.mol2,-7.7,8
DB01349_docking_min1.mol2,-7.6,8
DB00246_docking_min1.mol2,-7.4,8
DB01254_docking_min1.mol2,-7.4,8
DB11703_docking_min1.mol2,-7.2,8
DB09343_docking_min1.mol2,-7.1,8
DB08931_docking_min1.mol2,-7,8
DB14018_docking_min1.mol2,-7,8
DB14132_docking_min1.mol2,-7,8
DB09054_docking_min1.mol2,-6.9,8
DB00261_docking_min1.mol2,-6.4,8
DB04842_docking_min1.mol2,-6.4,8
DB00978_docking_min1.mol2,-6.2,8
DB01059_docking_min1.mol2,-6.1,8
DB01268_docking_min1.mol2,-6,8
DB08895_docking_min1.mol2,-6,8
DB00238_docking_min1.mol2,-5.9,8
DB09030_docking_min1.mol2,-8.9,9
DB00398_docking_min1.mol2,-8.8,10
DB08896_docking_min1.mol2,-8.2,10
DB01195_docking_min1.mol2,-7.3,10
DB01656_docking_min1.mol2,-7.3,10
DB09078_docking_min1.mol2,-7.2,10
DB00619_docking_min1.mol2,-8.8,11
DB08883_docking_min1.mol2,-7.1,11
DB00853_docking_min1.mol2,-6.9,11
DB00670_docking_min1.mol2,-6.6,11
DB06203_docking_min1.mol2,-6.1,11
DB00849_docking_min1.mol2,-5.7,11
DB00791_docking_min1.mol2,-5.6,11
DB06228_docking_min1.mol2,-8.8,12
DB13931_docking_min1.mol2,-8.8,13
DB01132_docking_min1.mol2,-8.7,14
DB09198_docking_min1.mol2,-8.2,14
DB05039_docking_min1.mol2,-8.7,15
DB02959_docking_min1.mol2,-7.5,15
DB08820_docking_min1.mol2,-7.3,15
DB01065_docking_min1.mol2,-7.2,15
DB09219_docking_min1.mol2,-7.2,15
DB01366_docking_min1.mol2,-5.6,15
DB08922_docking_min1.mol2,-8.7,16
DB08815_docking_min1.mol2,-8.1,16
DB00490_docking_min1.mol2,-6.8,16
DB08930_docking_min1.mol2,-8.7,17
DB00487_docking_min1.mol2,-7.9,17
DB09074_docking_min1.mol2,-7.8,17
DB00322_docking_min1.mol2,-7.6,17
DB00432_docking_min1.mol2,-7.1,17
DB00604_docking_min1.mol2,-7,17
DB11943_docking_min1.mol2,-7,17
DB01030_docking_min1.mol2,-6.7,17
DB09047_docking_min1.mol2,-6.7,17
DB09101_docking_min1.mol2,-6.7,17
DB01137_docking_min1.mol2,-6.5,17
DB01165_docking_min1.mol2,-6.5,17
DB01208_docking_min1.mol2,-6.4,17
DB00365_docking_min1.mol2,-6.2,17
DB06771_docking_min1.mol2,-6.2,17
DB00218_docking_min1.mol2,-6.1,17
DB00537_docking_min1.mol2,-6.1,17
DB00716_docking_min1.mol2,-6.1,17
DB01044_docking_min1.mol2,-5.9,17
DB04576_docking_min1.mol2,-5.9,17
DB00249_docking_min1.mol2,-5.7,17
DB00691_docking_min1.mol2,-5.2,17
DB11799_docking_min1.mol2,-8.7,18
DB01166_docking_min1.mol2,-8.6,18
DB09143_docking_min1.mol2,-8.4,18
DB00243_docking_min1.mol2,-8.3,18
DB00640_docking_min1.mol2,-8.2,18
DB08910_docking_min1.mol2,-8.2,18
DB01162_docking_min1.mol2,-8.1,18
DB00457_docking_min1.mol2,-8,18
DB00820_docking_min1.mol2,-8,18
DB06605_docking_min1.mol2,-8,18
DB01101_docking_min1.mol2,-7.9,18
DB00590_docking_min1.mol2,-7.8,18
DB01004_docking_min1.mol2,-7.8,18
DB01157_docking_min1.mol2,-7.8,18
DB06207_docking_min1.mol2,-7.8,18
DB09053_docking_min1.mol2,-7.8,18
DB09073_docking_min1.mol2,-7.8,18
DB00987_docking_min1.mol2,-7.7,18
DB12483_docking_min1.mol2,-7.7,18
DB01482_docking_min1.mol2,-7.6,18
DB04335_docking_min1.mol2,-7.5,18
DB06480_docking_min1.mol2,-7.5,18
DB01262_docking_min1.mol2,-7.4,18
DB06237_docking_min1.mol2,-7.4,18
DB00242_docking_min1.mol2,-7.3,18
DB00346_docking_min1.mol2,-7.3,18
DB00360_docking_min1.mol2,-7.3,18
DB00649_docking_min1.mol2,-7.2,18
DB00824_docking_min1.mol2,-7.2,18
DB00787_docking_min1.mol2,-6.9,18
DB00900_docking_min1.mol2,-6.9,18
DB08916_docking_min1.mol2,-6.9,18
DB00943_docking_min1.mol2,-6.8,18
DB00277_docking_min1.mol2,-6.7,18
DB00299_docking_min1.mol2,-6.7,18
DB00552_docking_min1.mol2,-6.7,18
DB11730_docking_min1.mol2,-6.7,18
DB13421_docking_min1.mol2,-6.7,18
DB08882_docking_min1.mol2,-6.6,18
DB00709_docking_min1.mol2,-6.5,18
DB01412_docking_min1.mol2,-6.5,18
DB09330_docking_min1.mol2,-6.5,18
DB00317_docking_min1.mol2,-6.4,18
DB00442_docking_min1.mol2,-6.3,18
DB00194_docking_min1.mol2,-6.2,18
DB09092_docking_min1.mol2,-5.9,18
DB00631_docking_min1.mol2,-5.8,18
DB09144_docking_min1.mol2,-5.8,18
DB01073_docking_min1.mol2,-5.7,18
DB01265_docking_min1.mol2,-5.6,18
DB00441_docking_min1.mol2,-5.4,18
DB00651_docking_min1.mol2,-5.3,18
DB12598_docking_min1.mol2,-8.7,19
DB00738_docking_min1.mol2,-7.1,19
DB00564_docking_min1.mol2,-8.6,20
DB00776_docking_min1.mol2,-8.6,20
DB09119_docking_min1.mol2,-7,20
DB00601_docking_min1.mol2,-8.6,21
DB09256_docking_min1.mol2,-6.9,21
DB00879_docking_min1.mol2,-5.1,21
DB04861_docking_min1.mol2,-8.6,22
DB13164_docking_min1.mol2,-8.6,23
DB00412_docking_min1.mol2,-8.5,23
DB09128_docking_min1.mol2,-7.6,23
DB11699_docking_min1.mol2,-6.2,23
DB14061_docking_min1.mol2,-5.3,23
DB13872_docking_min1.mol2,-8.6,24
DB00801_docking_min1.mol2,-7.9,24
DB14028_docking_min1.mol2,-7.3,24
DB00231_docking_min1.mol2,-7,24
DB01489_docking_min1.mol2,-6.7,24
DB09003_docking_min1.mol2,-6.6,24
DB00186_docking_min1.mol2,-6.4,24
DB00829_docking_min1.mol2,-6.4,24
DB00842_docking_min1.mol2,-6.4,24
DB01558_docking_min1.mol2,-6.4,24
DB01594_docking_min1.mol2,-6.4,24
DB00349_docking_min1.mol2,-6.3,24
DB01545_docking_min1.mol2,-6.3,24
DB01553_docking_min1.mol2,-6.3,24
DB01567_docking_min1.mol2,-6.3,24
DB00628_docking_min1.mol2,-6.1,24
DB01511_docking_min1.mol2,-6.1,24
DB08968_docking_min1.mol2,-6.1,24
DB01588_docking_min1.mol2,-5.9,24
DB05015_docking_min1.mol2,-8.5,25
DB01144_docking_min1.mol2,-7.7,25
DB00414_docking_min1.mol2,-7.3,25
DB00250_docking_min1.mol2,-7.2,25
DB00839_docking_min1.mol2,-7,25
DB09355_docking_min1.mol2,-7,25
DB00634_docking_min1.mol2,-6.8,25
DB00672_docking_min1.mol2,-6.7,25
DB00308_docking_min1.mol2,-6.5,25
DB00489_docking_min1.mol2,-6.5,25
DB00259_docking_min1.mol2,-6.4,25
DB00819_docking_min1.mol2,-6.2,25
DB01124_docking_min1.mol2,-6.1,25
DB06795_docking_min1.mol2,-5.9,25
DB09080_docking_min1.mol2,-8.5,26
DB11793_docking_min1.mol2,-8.5,27
DB00953_docking_min1.mol2,-6.8,27
DB06155_docking_min1.mol2,-6.7,27
DB00889_docking_min1.mol2,-6.3,27
DB00481_docking_min1.mol2,-8.4,28
DB06249_docking_min1.mol2,-7.5,28
DB11490_docking_min1.mol2,-7.4,28
DB00688_docking_min1.mol2,-7,28
DB00827_docking_min1.mol2,-6.7,28
DB00844_docking_min1.mol2,-6.7,28
DB09209_docking_min1.mol2,-6.7,28
DB00327_docking_min1.mol2,-6.6,28
DB06800_docking_min1.mol2,-6.6,28
DB00318_docking_min1.mol2,-6.5,28
DB00704_docking_min1.mol2,-6.5,28
DB01466_docking_min1.mol2,-6.5,28
DB00295_docking_min1.mol2,-6.4,28
DB01183_docking_min1.mol2,-6.4,28
DB01192_docking_min1.mol2,-6.4,28
DB08897_docking_min1.mol2,-6.3,28
DB01551_docking_min1.mol2,-6.2,28
DB06230_docking_min1.mol2,-6.2,28
DB09300_docking_min1.mol2,-6.2,28
DB00497_docking_min1.mol2,-6.1,28
DB00921_docking_min1.mol2,-6.1,28
DB11315_docking_min1.mol2,-6,28
DB00674_docking_min1.mol2,-5.9,28
DB01409_docking_min1.mol2,-5.9,28
DB00747_docking_min1.mol2,-5.8,28
DB01393_docking_min1.mol2,-8.4,29
DB01411_docking_min1.mol2,-8.4,30
DB05154_docking_min1.mol2,-8.4,31
DB08828_docking_min1.mol2,-8.4,32
DB01628_docking_min1.mol2,-7.7,32
DB08974_docking_min1.mol2,-8.4,33
DB00643_docking_min1.mol2,-8.1,33
DB00518_docking_min1.mol2,-6.1,33
DB00448_docking_min1.mol2,-8.3,34
DB00213_docking_min1.mol2,-7.7,34
DB00338_docking_min1.mol2,-7.1,34
DB05351_docking_min1.mol2,-6.8,34
DB00736_docking_min1.mol2,-6.7,34
DB01129_docking_min1.mol2,-6.1,34
DB01128_docking_min1.mol2,-8.3,35
DB01145_docking_min1.mol2,-8.3,36
DB00973_docking_min1.mol2,-8.2,37
DB06212_docking_min1.mol2,-7.5,37
DB12364_docking_min1.mol2,-7.3,37
DB00328_docking_min1.mol2,-6.8,37
DB06603_docking_min1.mol2,-8.2,38
DB08439_docking_min1.mol2,-8.2,39
DB06288_docking_min1.mol2,-6.8,39
DB06268_docking_min1.mol2,-6.6,39
DB14033_docking_min1.mol2,-6.6,39
DB00580_docking_min1.mol2,-6.4,39
DB00703_docking_min1.mol2,-5.8,39
DB08907_docking_min1.mol2,-8.2,40
DB11827_docking_min1.mol2,-7,40
DB09280_docking_min1.mol2,-8.2,41
DB12401_docking_min1.mol2,-8.2,42
DB00502_docking_min1.mol2,-7.6,42
DB01106_docking_min1.mol2,-7.3,42
DB00836_docking_min1.mol2,-6.8,42
DB00678_docking_min1.mol2,-8.1,43
DB00196_docking_min1.mol2,-7.8,43
DB11633_docking_min1.mol2,-7.5,43
DB06201_docking_min1.mol2,-7.2,43
DB09040_docking_min1.mol2,-5.7,43
DB00582_docking_min1.mol2,-5.6,43
